orderId,itemId,quantity,price
1Nb6V2ForuwqLbJYdgwUQx,359,Paper,1,22.01
g25a8HqcWkjtRTfSa6Z3uZ,129,Tompouce,1,32.26
tC3swYhD6sRDmSwWFNZTEi,876,Curtain,1,43.91
vaZaV7JKepbGj2AeYdjVGy,458,Curtain,1,68.69
28x55GKWhq8PGfgexKr9B5,380,Tompouce,1,66.68
2fHfaNKywTMuGtPpQT1FuB,592,Curtain,1,75
cDeSB3edSpU61XVrZjqbgn,565,Pen,1,71.12
6dSQ6f7wnfPkFKw3u9BM5E,744,Curtain,1,80.65
uY4NRzr5uA9Rwx6aEkh374,406,Tompouce,1,66.89
pu42eZtrKRxU2kKtDeX3b7,617,Paper,1,14.65
hDEYxkadmZK8bNPbGE1PLj,459,Bread,1,61.57
wA77tx6Nfy6V3zNu9dLkPA,416,Curtain,1,51.86
sgEzRYptui3UTbF1gr8Fvb,604,Shirt,1,75.54
eigrnKgSJDk6X16i2SPPgb,787,Bread,1,38.78
e4tGLP494WPzUtDfUQxCAU,172,Paper,1,60.76
rmKTVWqYao6RHJsqdJ36vD,483,Socks,1,54.9
ehxY8Q7jp4t3PNe5yn9KcW,508,Towel,1,4.1
8xHqRRLyDP1j2pzGnf6ojB,861,Book,1,53.97
cYHp6aTv19wkEjt722hKeJ,911,Pen,1,68.09
37irBQy3K6Ah9TxvTHt8up,336,Shirt,1,12.43
ahrScX8qosGfBoU6q8LsgK,769,Bread,1,66.17
n6gxAU3AZGTes9ZpASYHN2,399,Shirt,1,24.97
5tiVG8WgNRjBnb7Zu1jcM6,415,Paper,1,29.99
ry5AqhCPBQ3BPKMB7hsE5Q,344,Towel,1,79.62
dctzTAfbmTsXLgKnsnHpD5,109,Socks,1,34.37
fnUDeuqjTg19mYu2orfUyy,750,Paper,1,67.82
vVUKdWKNU7dxzxSvfja9Se,947,Book,1,19.71
gnJd5DTH5jfm9xidomB2Nr,314,Paper,1,67.68
jL3RMAusdsJQEgLKhpGBHY,887,Socks,1,30.47
nyDGz6iL89ZriYAJ2UQiju,687,Towel,1,81.57
wyeFpSfSqbSoyPzpzoUL7D,868,Towel,1,5.25
1nkcrGvTrUfo3iPYhNGz2H,138,Shirt,1,70.59
dkPA5jCah9uEb1Sg7mCVSN,617,Socks,1,18.02
mMHs43nFqJsgvwBfyz4JG3,930,Pen,1,4.75
a82W6gHDJdoJoXrS5wbziL,450,Curtain,1,46.8
gctfqRPXQvMr9tq8cAt6N8,327,Curtain,1,12.57
6H5Pb4pGKVS96HpQmpMJsc,655,Paper,1,40.88
8k4Y9uZM8voRBpJcNYmeux,583,Towel,1,35.77
fdQbJy9dp89ijGnxGXn21K,308,Socks,1,61.28
aKhSamF1kU2ZremXF7FiNo,392,Towel,1,9.98
4qqTjxhWzxqUGWG6Lv9P86,513,Shirt,1,29.35
7DgGf7rPauJeKTojYQxXgX,952,Book,1,24.47
4Xfgt2D1RKJtUXqXFEbSvJ,168,Tompouce,1,20.72
k3DNwCNxB4MqFxBCoMnx6v,754,Pen,1,2.65
nc8h4aakvESAACy4dVcF2r,629,Towel,1,24.31
4vN9sRorUKKiYKkdusX2UH,551,Tompouce,1,58.74
qhyqSH7HZx6ExaijA9kwHH,131,Tompouce,1,5.11
q5cvPmoDgJSL1axLVz7xUv,715,Paper,1,30.31
8Ukb6XzMaXapBTjJidx6AY,427,Book,1,69.76
eKZPbdBsYFECX5jPYhYxU2,318,Pen,1,32.26
hcjxHqTjo62ga6VGyvxneT,275,Curtain,1,3.31
fAdkjq83zBgcGBCGzfhEq5,784,Shirt,1,81.08
5rPvH6bFZQ32xLoYnZbGg1,301,Bread,1,56.37
dSiULdm6v6kSL9yLLsUNsu,952,Book,1,58.89
